timestamp,event
2025-09-21 03:49:49,User logout
2025-09-21 03:50:49,Unauthorized access detected
2025-09-21 03:51:49,Failed login attempt
2025-09-21 03:52:49,User login success
2025-09-21 03:53:49,User login success
2025-09-21 03:54:49,File accessed
2025-09-21 03:55:49,User logout
2025-09-21 03:56:49,System idle
2025-09-21 03:57:49,User logout
2025-09-21 03:58:49,User login success
2025-09-21 03:59:49,File accessed
2025-09-21 04:00:49,User logout
2025-09-21 04:01:49,File accessed
2025-09-21 04:02:49,Failed login attempt
2025-09-21 04:03:49,Unauthorized access detected
2025-09-21 04:04:49,System idle
2025-09-21 04:05:49,User login success
2025-09-21 04:06:49,Failed login attempt
2025-09-21 04:07:49,User logout
2025-09-21 04:08:49,User logout
